,,PREFEITURA DO MUNICÍPIO DE MAUÁ,,,,,,,,,,,,,,,,,,,,,
,  ,SECRETARIA DE GOVERNO,,DATA: 02/04/25,,,,,,,,,,,,,,,,,,,
,,"COORDENADORIA DE LICITAÇÕES, MATERIAIS E PATRIMÔNIO ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Acompanhamento de Processos,,,,,,,,,,,,,,,,,,,,,
ITEM,PROCESSO,REQUISITANTE,OBJETO,MODALIDADE,PRIORIDADE,"DATA DE INÍCIO 
DO PROCESSO",DATA ENTRADA  NA CLMP,VALOR ESTIMADO,Fonte 0001 (TESOURO),Fonte 0002 (ESTADUAL),Fonte 0003 (FUNDO),Fonte 0005 (FEDERAL),Fonte 0007 (FINISA),Nº DO CERTAME,DATA PUBLICAÇÃO,DATA  ABERTURA,VALOR CONTRATADO,CONTRATO NÚMERO,VENCIMENTO,STATUS,DATA,LOCAL,RESPONSÁVEL
1,PC 9078/2024,SE ,Aquisição de materiais de higiene – fraldas descartáveis,Pregão,,10/24/24,10/29/24,"R$ 6.717.011,38","R$ 6.717.011,38",-,-,-,-,PE RP 006/2025,02/27/25,03/14/25,,,,Encaminhado para análise técnica,04/02/25,SE,SE
2,PC 6752/2024,SMA,Aquisição de ração para animas ,Pregão,,08/07/24,09/20/24,"R$ 482.043,83","R$ 482.043,83",-,-,-,-,PE RP 002/2025,02/11/25,02/21/25,,,,Aberta a licitação ,02/21/25,CLMP,Arina 
3,PC 5552/2024,SS,Aquisição de materiais não permanentes – qualificar atendimento farmácias municipais ,Pregão,,06/25/24,06/28/24,"R$ 84.932,62",-,-,-,"R$ 84.932,62",-,PE RP 031/2024,09/18/24,10/02/24,,,,Aberta a licitação ,10/02/24,CLMP,Arina 
4,PC 4396/2024,SE ,Locação de vans adaptadas,Pregão,,05/20/24,09/04/24,"R$ 8.378.981,28","R$ 8.378.981,28",-,-,-,-,,,,,,,Para análise após adequações,03/28/25,CLMP,Arina 
5,PC 10478/2024,SS,Aquisição de material de enfermagem – cânulas,Pregão,,12/05/24,12/27/24,"R$ 13.989,10","R$ 13.989,10",-,-,-,-,,,,,,,Para análise após adequações,04/01/25,CLMP,Arina 
6,PC 6002/2024,SMA,Contratação de empresa para prestação de serviço – seguro de veículos,Pregão,,07/15/24,01/03/25,,,,,,,,,,,,,Para pesquisa de preços,04/01/25,CLMP,Carla
7,PC 8957/2024,SS,Aquisição de materiais de enfermagem – fraldas ,Pregão,,10/21/24,11/14/24,"R$ 1.391.376,49","R$ 1.391.376,49",-,-,-,-,PE RP 009/2025,03/20/25,04/01/25,,,,Aberta a licitação ,04/01/25,CLMP,Arina 
8,PC 2125/2025,SG,Aquisição de materiais de limpeza,Pregão,,03/24/25,03/24/25,"R$ 4.878.600,50","R$ 4.878.600,50",-,-,-,-,PE RP 012/2025,03/27/25,04/08/25,,,,Aguardando abertura da licitação,03/27/25,CLMP,Arina 
9,PC 2134/2025,SG,Contratação de empresa para prestação de serviço – publicidade legal PRODESP,Inexigibilidade,,03/24/25,03/25/25,,,,,,,,,,,,,Em instrução,03/25/25,CLMP,Arina 
10,PC 10475/2024,SS,Aquisição de materiais de enfermagem para vias aéreas,Pregão,,12/05/24,02/24/25,,,,,,,,,,,,,Para análise,02/24/25,CLMP,Arina 
11,PC 446/2025,SS,Aquisição de materiais – atendimento de demanda judiciais,Pregão,,01/17/25,02/19/25,,,,,,,,,,,,,Para análise,02/19/25,CLMP,Arina 
12,PC 1034/2025,SSP,Locação de veículos adaptados viaturas ,Pregão,,02/11/25,02/25/25,,,,,,,,,,,,,Para pesquisa de preços,03/13/25,CLMP,Carla
13,PC 1278/2025,SEL,Contratação de empresa – laudo de vistoria de engenharia do estádio municipal,Pregão,,02/21/25,03/06/25,,,,,,,,,,,,,Para análise,03/26/25,CLMP,Nice
14,PC 1279/2025,SEL,Aquisição de produtos químicos para tratamento de piscinas dos próprios municipais,Pregão,,02/20/25,03/06/25,,,,,,,,,,,,,Para análise,03/25/25,CLMP,Nice
15,PC 7396/2024,SAM,Contratação de empresa – avaliação e levantamento - segurança e saúde do trabalho,Dispensa,,08/30/24,10/01/24,"R$ 57.562,40","R$ 57.562,40",-,-,-,-,DE 024/2024,12/17/24,01/08/25,"R$ 35.000,00",,,Para elaboração de contrato/ ata,03/24/25,CLMP,Iara
16,PC 4604/2024,SSU,Aquisição de grelhas – manutenção e zeladoria do município,Pregão,,05/23/24,07/01/24,"R$ 2.475.030,00","R$ 2.475.030,00",-,-,-,-,PE RP 057/2024,10/25/24,11/21/24,"R$ 2.416.500,00",,,Para elaboração de contrato/ ata,03/28/25,CLMP,Iara
17,PC 5556/2024,SSAN,Aquisição de gêneros alimentícios – alimentos para fins específicos,Pregão,,06/26/24,09/11/24,"R$ 303.868,68","R$ 303.868,68",-,-,-,-,PE RP 070/2024,12/05/24,12/19/24,"R$ 303.637,78",,,Para elaboração de contrato/ ata,03/31/24,CLMP,Iara
18,PC 169/2025,SG,Contratação de empresa especializada - links de internet de alta disponibilidade,Pregão,,01/09/25,03/13/24,,,,,,,,,,,,,Para pesquisa de preços,03/14/24,CLMP,Sonia 
19,PC 1749/2025,SF,Contratação de empresa – licença de uso de software específico,Pregão,,03/11/25,03/19/25,,,,,,,,,,,,,Para pesquisa de preços,03/27/25,CLMP,Mariane
20,PC 9903/2024,SS,Aquisição de tira reagentes,Pregão,,11/25/24,12/02/24,"R$ 3.250.260,00",-,"R$ 3.250.260,00",-,-,-,PE RP 001/2024,02/10/25,02/21/25,"R$ 1.203.800,00",,,Para elaboração de contrato/ ata,03/20/25,CLMP,André 
21,PC 4881/2024,SSAN,Aquisição de gêneros alimentícios – bebidas prontas para consumo,Pregão,,06/04/24,08/22/24,"R$ 3.595.744,19","R$ 3.413.170,81",-,-,"R$ 182.573,38",-,PE RP 005/2025,02/26/25,03/13/25,,,,Aberta a licitação ,03/13/25,CLMP,André 
22,PC 5799/2024,SS,Aquisição de kit enxoval e bolsa maternidade,Pregão,,07/03/24,10/01/24,"R$ 2.098.899,00","R$ 2.098.899,00",-,-,-,-,,,,,,,Para análise após adequações,04/01/25,CLMP,André 
23,PC 860/2024,SS,Aquisição de lanceta estéril,Pregão,,01/29/24,02/28/24,"R$ 530.400,00",-,"R$ 530.400,00",-,-,-,PE RP 018/2024,08/14/24,08/26/24,"R$ 447.000,00",,,Para elaboração de contrato/ ata,03/19/25,CLMP,André 
24,PC 7457/2024,SAS,Aquisição de microcomputadores e notebooks,Pregão,,08/30/24,09/11/24,"R$ 419.723,64",-,"R$ 30.290,50",-,"R$ 389.433,14",-,PE 068/2024,12/03/24,12/16/24,"R$ 384.023,40",,,Aguardando assinatura da homologação,03/05/25,CLMP,Maria
25,PC 5489/2024 ,STRE,Contratação de empresa - manutenção corretiva e preventiva de máquinas de costura ,Pregão,,06/24/24,10/15/24,"R$ 23.120,00","R$ 23.120,00",-,-,-,-,,,,,,,Para análise após adequações,02/26/25,CLMP,Sara
26,PC 8959/2024,SS,Aquisição de material de enfermagem – equipos para bomba de infusão,Pregão,,10/21/24,12/13/24,"R$ 127.620,00","R$ 127.620,00",-,-,-,-,,,,,,,Para análise após adequações,03/18/25,CLMP,Sara
27,PC 9958/2024,SS,Aquisição de sondas de gastrostomia para atendimento de ação judicial ,Pregão,,11/27/24,01/06/25,"R$ 2.118,00","R$ 2.118,00",-,-,-,-,,,,,,,Para prosseguimento após análise orçamentária ,03/19/25,CLMP,Sara
28,PC 10664/2024,SS,"Aquisição de medicamentos (comprimidos, capsulas e drágeas) de R a V ",Pregão,,12/19/24,01/14/25,"R$ 1.546.550,06","R$ 1.634.336,18","R$ 73.155,13",-,"R$ 160.941,29",-,,,,,,,Para prosseguimento após análise orçamentária ,03/07/25,CLMP,Sara
29,PC 223/2025 ,SAS,Aquisição de kit alimentar emergencial ,Pregão,,01/09/25,02/18/25,,,,,,,,,,,,,Para análise após adequações,04/01/25,CLMP,Sara
30,PC 8897/2024,SE ,Contratação de empresa para fornecimento de colchonetes e tatames ,Pregão,,10/18/24,11/29/24,"R$ 469.808,00","R$ 469.808,00",-,-,-,-,PE RP 010/2025,03/17/25,03/27/25,,,,Encaminhado para análise técnica ,04/03/25,SE,SE
31,PC 9464/2024,SS,"Aquisição de domissanitários raticidas e inseticidas a serem utilizados pela equipe da gerência de zoonose no programa de controle de roedores, animais peçonhentos e sinantrópicos indesejáveis",Pregão,,11/08/24,11/19/24,"R$ 75.026,25",-,-,-,"R$ 75.026,25",-,,,,,,,Para publicação de edital,03/19/25,CLMP,Vanessa
32,PC 5419/2024,SS,"Aquisição de EPIS para controle de himenópteros e nebulização, para utilização das equipes da gerência de zoonoses",Pregão,,06/21/24,06/28/24,"R$ 108.608,49",-,-,-,"R$ 108.608,49",-,,,,,,,Para publicação de edital,03/19/25,CLMP,Vanessa
33,PC 9630/2024,SSU,Aquisição de urnas e artigos funerários para atendimentos de demandas municipais,Pregão,,11/18/24,02/12/24,"R$ 84.031,24","R$ 84.031,24",-,-,-,-,,,,,,,Para publicação de edital,03/26/25,CLMP,Vanessa
34,PC 8919/2024,SS,"Aquisição medicamentos (classificação – insulinas análogas) destinadas ao atendimento de demandas judiciais diversas, que restaram desertos e fracassados no PC 3233/2024 em 30/08/24 e novamente em 25/09/24 o certame restou deserto",Dispensa,,10/18/24,11/06/24,"R$ 17.777,55","R$ 17.777,55",-,-,-,-,,,,,,,Para publicação de edital,03/13/25,CLMP,Vanessa
35,PC 9064/2024,SS,"Aquisição de medicamentos injetáveis – A a G, para abastecimento da rede de saúde",Pregão,,10/23/24,11/05/24,"R$ 8.352.393,1900","R$ 7.725.486,86","R$ 195.908,19",-,"R$ 430.998,05",-,,,,,,,Retornou após parecer jurídico,03/28/25,CLMP,Vanessa
